event_name,began_local,estimated_end_local,venue_name,address,city,country,segment,genre,description,estimated_attendance,event_url
Cirque du Soleil ALIZÉ,2026-06-10T18:30:00+02:00,2026-06-10T20:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,771,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/580037716?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-10T20:00:00+02:00,2026-06-10T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,773,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
ivri,2026-06-10T20:00:00+02:00,2026-06-10T23:00:00+02:00,,Skalitzer Straße 85-86,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1886,https://www.ticketmaster.de/event/ivri-tickets/1399949209?language=en-us
Cirque du Soleil ALIZÉ,2026-06-11T19:30:00+02:00,2026-06-11T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,786,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1696680729?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-11T20:00:00+02:00,2026-06-11T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,646,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-06-12T16:00:00+02:00,2026-06-12T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,550,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1677373833?language=en-us
Lachkater - die Stand Up Comedy Show,2026-06-12T19:00:00+02:00,2026-06-12T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,587,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
FKA twigs - Body High Tour,2026-06-12T19:45:00+02:00,2026-06-12T22:45:00+02:00,,Paul-Heyse-Straße 26,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1636,https://www.ticketmaster.de/event/fka-twigs-body-high-tour-tickets/625341063?language=en-us
Grace Ives - Girlfriend Tour,2026-06-12T20:00:00+02:00,2026-06-12T23:00:00+02:00,,Schönhauser Allee 36,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1359,https://www.ticketmaster.de/event/grace-ives-girlfriend-tour-tickets/549160499?language=en-us
Joost Klein - World Tour,2026-06-12T20:00:00+02:00,2026-06-12T23:00:00+02:00,,Columbiadamm 13 - 21,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,1405,https://www.ticketmaster.de/event/joost-klein-world-tour-tickets/537702751?language=en-us
