when,duration,description
6/15/2026 8:00,2h30min,Line U3 suspended on a section between Oskar-Helene-Heim and Krumme Lanke due to track maintenance.
6/15/2026 12:30,1h,Station Schillingstr. closed due to track maintenance.
6/23/2026 21:00,3h,Line U3 suspended on a section between Spichernstr. and Oskar-Helene-Heim due to switch replacement.
6/27/2026 6:10,3h,Station Zitadelle closed due to signal upgrades.
6/30/2026 17:50,3h30min,Station Neukölln closed due to switch replacement.
6/30/2026 20:00,3h,Station Cottbusser Platz closed due to safety inspection.
7/2/2026 8:10,4h30min,Station Walther-Schreiber-Platz closed due to track maintenance.
7/11/2026 8:20,1h,Line U8 suspended on a section between Leinestr. and Hermannplatz due to signal upgrades.
7/13/2026 13:50,1h30min,Line U6 suspended on a section between Hallesches Tor and Kaiserin-Augusta-Str. due to safety inspection.
7/14/2026 16:30,2h,Station Theodor-Heuss-Platz closed due to switch replacement.
7/16/2026 11:20,1h30min,Station Krumme Lanke closed due to switch replacement.
8/5/2026 6:15,3h,Station Turmstr. closed due to switch replacement.
8/5/2026 21:00,3h30min,Line U5 suspended on a section between Kaulsdorf-Nord and Hönow due to safety inspection.
8/8/2026 20:10,1h,Line U7 suspended on a section between Paulsternstr. and Zitadelle due to safety inspection.
8/15/2026 11:30,3h30min,Line U9 suspended on a section between Walther-Schreiber-Platz and Spichernstr. due to power system maintenance.
8/17/2026 15:40,4h,Line U7 suspended between Kleistpark and Bayerischer Platz due to safety inspection.
8/19/2026 12:30,1h,Line U9 suspended on a section between Berliner Str. and Rathaus Steglitz due to safety inspection.
8/27/2026 12:40,4h,Line U9 suspended on a section between Walther-Schreiber-Platz and Bundesplatz due to safety inspection.
8/30/2026 18:10,2h30min,Line U7 suspended on a section between Blaschkoallee and Rudow due to power system maintenance.
9/7/2026 13:50,3h30min,Station Lichtenberg Bhf closed due to signal upgrades.
9/7/2026 20:20,1h,Station Bismarckstr. closed due to safety inspection.
9/14/2026 10:45,4h30min,Line U6 suspended on a section between Kaiserin-Augusta-Str. and Platz der Luftbrücke due to track maintenance.
9/14/2026 23:15,1h30min,Line U7 suspended on a section between Siemensdamm and Altstadt Spandau due to power system maintenance.
9/18/2026 11:00,4h,Line U3 suspended on a section between Oskar-Helene-Heim and Krumme Lanke due to safety inspection.
9/20/2026 5:10,4h,Station Turmstr. closed due to signal upgrades.
9/21/2026 18:00,2h30min,Line U1 suspended on a section between Hallesches Tor and Schlesisches Tor due to switch replacement.
