,U1,U2,U3,U5,U6,U7,U8,U9
6/10/2026,42,71,89,103,94,150,85,61
6/11/2026,42,69,87,102,94,150,84,60
6/12/2026,42,69,88,102,94,148,83,60
6/13/2026,39,65,82,95,87,138,77,56
6/14/2026,39,64,82,94,85,137,77,55
6/15/2026,41,69,87,100,91,146,83,59
6/16/2026,41,70,88,102,92,147,84,60
6/17/2026,41,68,87,101,92,147,83,59
6/18/2026,42,70,87,100,91,146,82,59
6/19/2026,41,69,88,102,92,149,83,60
6/20/2026,39,65,82,94,86,138,77,56
6/21/2026,39,65,81,94,85,136,77,55
6/22/2026,40,67,85,99,90,145,81,59
6/23/2026,42,69,87,101,92,147,83,61
6/24/2026,42,69,88,103,92,148,83,60
6/25/2026,41,70,87,101,93,147,83,60
6/26/2026,42,70,88,102,92,148,83,60
6/27/2026,39,65,82,95,87,138,78,56
6/28/2026,39,65,81,94,85,136,77,55
6/29/2026,41,68,86,100,90,146,83,59
6/30/2026,41,69,87,100,92,146,83,59
7/1/2026,41,67,86,100,90,145,82,58
7/2/2026,40,67,85,97,89,143,80,58
7/3/2026,41,69,87,102,92,147,83,60
7/4/2026,39,65,82,95,86,138,77,56
7/5/2026,39,64,82,94,85,136,77,55
7/6/2026,41,68,87,100,92,146,82,59
7/7/2026,42,69,88,104,95,149,86,61
7/8/2026,42,70,89,103,93,148,84,62
7/9/2026,42,70,89,102,94,152,84,61
7/10/2026,42,70,88,102,93,148,84,60
7/11/2026,39,65,83,95,87,139,78,56
7/12/2026,40,67,85,98,90,142,81,58
7/13/2026,43,71,92,104,94,153,85,62
7/14/2026,41,69,87,102,92,147,82,60
7/15/2026,42,69,88,103,92,149,83,60
7/16/2026,42,70,88,102,93,149,84,61
7/17/2026,42,70,89,104,94,152,85,61
7/18/2026,39,65,83,95,86,137,78,56
7/19/2026,38,64,81,93,85,136,77,56
7/20/2026,41,67,86,99,91,146,81,58
7/21/2026,43,71,90,104,96,151,85,61
7/22/2026,42,70,88,102,94,151,84,61
7/23/2026,42,71,89,105,95,152,85,61
7/24/2026,42,70,87,102,93,148,83,60
7/25/2026,39,65,82,95,86,138,78,56
7/26/2026,39,65,82,95,86,137,78,56
7/27/2026,41,69,87,101,91,147,83,60
7/28/2026,41,69,88,101,93,148,83,60
7/29/2026,42,70,89,103,94,147,85,61
7/30/2026,41,69,87,101,92,147,83,60
7/31/2026,42,70,88,102,92,150,84,60
8/1/2026,40,65,83,95,87,138,78,56
8/2/2026,39,66,83,95,86,139,78,56
8/3/2026,42,70,89,103,93,150,84,60
8/4/2026,42,70,89,103,93,148,85,60
8/5/2026,41,69,88,103,94,150,84,61
8/6/2026,42,69,88,102,94,149,83,60
8/7/2026,42,69,87,103,92,147,83,60
8/8/2026,39,65,82,94,85,137,77,55
8/9/2026,39,64,82,94,85,137,77,55
8/10/2026,41,69,88,101,92,147,83,60
8/11/2026,41,68,87,101,92,147,82,60
8/12/2026,41,68,86,101,91,145,82,59
8/13/2026,41,68,86,100,91,146,82,59
8/14/2026,40,68,85,99,90,145,81,59
8/15/2026,38,64,82,93,85,136,76,55
8/16/2026,39,65,82,95,86,137,77,56
8/17/2026,41,69,88,102,92,149,83,59
8/18/2026,41,69,88,103,92,147,83,61
8/19/2026,41,69,87,101,92,148,83,60
8/20/2026,41,69,87,103,92,149,83,60
8/21/2026,42,70,88,102,92,149,83,61
8/22/2026,39,65,83,95,86,138,78,56
8/23/2026,39,66,83,96,87,139,78,57
8/24/2026,42,70,90,103,94,149,84,62
8/25/2026,42,70,89,104,94,150,84,61
8/26/2026,42,70,88,102,93,149,83,61
8/27/2026,41,69,87,101,92,147,82,60
8/28/2026,42,69,88,102,92,149,85,61
8/29/2026,39,65,83,96,87,139,78,57
8/30/2026,39,65,82,95,86,138,77,56
8/31/2026,41,69,88,101,92,147,83,59
9/1/2026,41,69,88,101,92,147,82,59
9/2/2026,42,70,90,103,93,150,85,61
9/3/2026,42,69,88,102,93,148,84,60
9/4/2026,42,70,88,100,93,148,82,60
9/5/2026,39,65,83,96,87,139,78,56
9/6/2026,39,65,82,95,86,138,78,56
9/7/2026,41,70,88,102,93,148,83,61
9/8/2026,41,69,87,101,92,147,83,60
9/9/2026,41,69,87,101,92,147,83,59
9/10/2026,41,70,88,103,93,150,84,61
9/11/2026,43,71,89,104,94,151,85,61
9/12/2026,39,65,83,96,87,139,77,57
9/13/2026,39,66,83,96,87,139,78,56
9/14/2026,42,70,88,103,93,150,84,61
9/15/2026,42,70,89,104,94,149,84,62
9/16/2026,43,70,90,102,94,150,84,61
9/17/2026,42,69,88,103,94,149,84,61
9/18/2026,41,70,88,103,94,150,84,60
9/19/2026,39,65,82,95,86,138,78,56
9/20/2026,39,64,82,94,86,138,77,56
9/21/2026,42,70,88,101,92,148,84,60
